sampleID,Runtime,Species
ABLG14706,Late Stream,Sockeye
ABLG14707,Late Stream,Sockeye
ABLG14708,Late Stream,Sockeye
ABLG14709,Late Stream,Sockeye
ABLG14710,Late Stream,Sockeye
ABLG14711,Late Stream,Sockeye
ABLG14712,Late Stream,Sockeye
ABLG14713,Late Stream,Sockeye
ABLG14714,Late Stream,Sockeye
ABLG14715,Late Stream,Sockeye
ABLG14716,Late Stream,Sockeye
ABLG14717,Late Stream,Sockeye
ABLG14718,Late Stream,Sockeye
ABLG14719,Late Stream,Sockeye
ABLG14720,Late Stream,Sockeye
ABLG14721,Late Stream,Sockeye
ABLG14722,Late Stream,Sockeye
ABLG14723,Late Stream,Sockeye
ABLG14724,Late Stream,Sockeye
ABLG14725,Late Stream,Sockeye
ABLG14726,Late Stream,Sockeye
ABLG14727,Late Stream,Sockeye
ABLG14728,Late Stream,Sockeye
ABLG14729,Late Stream,Sockeye
ABLG14730,Late Stream,Sockeye
ABLG14731,Late Stream,Sockeye
ABLG14732,Late Stream,Sockeye
ABLG14733,Late Stream,Sockeye
ABLG14734,Late Stream,Sockeye
ABLG14735,Late Stream,Sockeye
ABLG14736,Late Stream,Sockeye
ABLG14737,Late Stream,Sockeye
ABLG14738,Late Stream,Sockeye
ABLG14739,Late Stream,Sockeye
ABLG14740,Late Stream,Sockeye
ABLG14741,Late Stream,Sockeye
ABLG14742,Late Stream,Sockeye
ABLG14743,Late Stream,Sockeye
ABLG14744,Late Stream,Sockeye
ABLG14745,Late Stream,Sockeye
ABLG14746,Late Stream,Sockeye
ABLG14747,Late Stream,Sockeye
ABLG14748,Late Stream,Sockeye
ABLG14749,Late Stream,Sockeye
ABLG14750,Late Stream,Sockeye
ABLG14751,Late Stream,Sockeye
ABLG14752,Late Stream,Sockeye
ABLG14753,Late Stream,Sockeye
ABLG14754,Late Stream,Sockeye
ABLG14755,Late Stream,Sockeye
ABLG14756,Late Stream,Sockeye
ABLG14757,Late Stream,Sockeye
ABLG14758,Late Stream,Sockeye
ABLG14759,Late Stream,Sockeye
ABLG14760,Late Stream,Sockeye
ABLG14761,Late Stream,Sockeye
