sample,depth,ABLG,CollectionYear,CollectionMonth,CollectionDay,Location1,StartLatitudeDD,StartLongitudeDD,LengthMM,FishDepthMM,WeightG,Lifestage,Sex,WGSBatchID,CollectionDate,Runtime,Comparison,Group
43530,1.13022143,43530,2024,7,24,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,7/24/2024,Early,Pick Creek,Pick Creek-Early
43529,1.527345203,43529,2024,7,24,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,7/24/2024,Early,Pick Creek,Pick Creek-Early
43531,1.428402963,43531,2024,7,24,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,7/24/2024,Early,Pick Creek,Pick Creek-Early
43532,1.094217354,43532,2024,7,24,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,7/24/2024,Early,Pick Creek,Pick Creek-Early
43533,0.97701786,43533,2024,7,24,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,7/24/2024,Early,Pick Creek,Pick Creek-Early
43534,1.453242933,43534,2024,7,24,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,7/24/2024,Early,Pick Creek,Pick Creek-Early
43528,1.840544244,43528,2024,7,24,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,7/24/2024,Early,Pick Creek,Pick Creek-Early
43535,1.330837578,43535,2024,7,24,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,7/24/2024,Early,Pick Creek,Pick Creek-Early
43536,1.573526319,43536,2024,7,24,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,7/24/2024,Early,Pick Creek,Pick Creek-Early
43538,1.032445745,43538,2024,7,24,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,7/24/2024,Early,Pick Creek,Pick Creek-Early
43539,1.080414902,43539,2024,7,24,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,7/24/2024,Early,Pick Creek,Pick Creek-Early
43541,1.278604032,43541,2024,7,24,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,7/24/2024,Early,Pick Creek,Pick Creek-Early
43540,0.907595439,43540,2024,7,24,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,7/24/2024,Early,Pick Creek,Pick Creek-Early
43542,1.187457962,43542,2024,7,24,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,7/24/2024,Early,Pick Creek,Pick Creek-Early
43544,1.596580632,43544,2024,7,24,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,7/24/2024,Early,Pick Creek,Pick Creek-Early
43543,0.956493403,43543,2024,7,24,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,7/24/2024,Early,Pick Creek,Pick Creek-Early
43537,1.560361976,43537,2024,7,24,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,7/24/2024,Early,Pick Creek,Pick Creek-Early
43546,1.243438216,43546,2024,7,24,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,7/24/2024,Early,Pick Creek,Pick Creek-Early
43556,1.039960879,43556,2024,7,24,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,7/24/2024,Early,Pick Creek,Pick Creek-Early
43553,0.972126822,43553,2024,7,24,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,7/24/2024,Early,Pick Creek,Pick Creek-Early
43552,1.130412032,43552,2024,7,24,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,7/24/2024,Early,Pick Creek,Pick Creek-Early
43551,1.051993095,43551,2024,7,24,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,7/24/2024,Early,Pick Creek,Pick Creek-Early
43549,1.15586296,43549,2024,7,24,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,7/24/2024,Early,Pick Creek,Pick Creek-Early
43554,1.098539377,43554,2024,7,24,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,7/24/2024,Early,Pick Creek,Pick Creek-Early
43547,1.24425776,43547,2024,7,24,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,7/24/2024,Early,Pick Creek,Pick Creek-Early
43545,1.642086326,43545,2024,7,24,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,7/24/2024,Early,Pick Creek,Pick Creek-Early
43555,1.316866883,43555,2024,7,24,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,7/24/2024,Early,Pick Creek,Pick Creek-Early
43550,1.640994186,43550,2024,7,24,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,7/24/2024,Early,Pick Creek,Pick Creek-Early
43548,1.027135265,43548,2024,7,24,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,7/24/2024,Early,Pick Creek,Pick Creek-Early
43558,1.135282707,43558,2024,7,24,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,7/24/2024,Early,Pick Creek,Pick Creek-Early
43560,1.241399005,43560,2024,7,24,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,7/24/2024,Early,Pick Creek,Pick Creek-Early
43559,1.155213414,43559,2024,7,24,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,7/24/2024,Early,Pick Creek,Pick Creek-Early
43561,1.356205136,43561,2024,7,24,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,7/24/2024,Early,Pick Creek,Pick Creek-Early
43563,1.168269686,43563,2024,7,24,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,7/24/2024,Early,Pick Creek,Pick Creek-Early
43565,1.136899896,43565,2024,7,24,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,7/24/2024,Early,Pick Creek,Pick Creek-Early
43568,1.282678468,43568,2024,7,24,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,7/24/2024,Early,Pick Creek,Pick Creek-Early
43564,0.999431268,43564,2024,7,24,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,7/24/2024,Early,Pick Creek,Pick Creek-Early
43570,0.887830342,43570,2024,7,24,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,7/24/2024,Early,Pick Creek,Pick Creek-Early
43573,0.873023141,43573,2024,7,24,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,7/24/2024,Early,Pick Creek,Pick Creek-Early
43566,1.090956006,43566,2024,7,24,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,7/24/2024,Early,Pick Creek,Pick Creek-Early
43571,0.71874579,43571,2024,7,24,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,7/24/2024,Early,Pick Creek,Pick Creek-Early
43569,1.210234933,43569,2024,7,24,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,7/24/2024,Early,Pick Creek,Pick Creek-Early
43572,1.035379112,43572,2024,7,24,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,7/24/2024,Early,Pick Creek,Pick Creek-Early
43575,0.905373895,43575,2024,7,24,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,7/24/2024,Early,Pick Creek,Pick Creek-Early
43567,1.356808934,43567,2024,7,24,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,7/24/2024,Early,Pick Creek,Pick Creek-Early
43574,1.113752442,43574,2024,7,24,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,7/24/2024,Early,Pick Creek,Pick Creek-Early
43576,0.743367397,43576,2024,9,08,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,9/8/2024,Late,Pick Creek,Pick Creek-Late
43578,0.901265349,43578,2024,9,08,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,9/8/2024,Late,Pick Creek,Pick Creek-Late
43577,1.040328991,43577,2024,9,08,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,9/8/2024,Late,Pick Creek,Pick Creek-Late
43579,0.346560241,43579,2024,9,08,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,9/8/2024,Late,Pick Creek,Pick Creek-Late
43580,1.001292427,43580,2024,9,08,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,9/8/2024,Late,Pick Creek,Pick Creek-Late
43581,0.972785759,43581,2024,9,08,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,9/8/2024,Late,Pick Creek,Pick Creek-Late
43586,1.221052298,43586,2024,9,08,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,9/8/2024,Late,Pick Creek,Pick Creek-Late
43585,0.610485528,43585,2024,9,08,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,9/8/2024,Late,Pick Creek,Pick Creek-Late
43582,0.957121548,43582,2024,9,08,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,9/8/2024,Late,Pick Creek,Pick Creek-Late
43583,0.797649085,43583,2024,9,08,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,9/8/2024,Late,Pick Creek,Pick Creek-Late
43584,0.873572494,43584,2024,9,08,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,9/8/2024,Late,Pick Creek,Pick Creek-Late
43587,0.903974994,43587,2024,9,08,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,9/8/2024,Late,Pick Creek,Pick Creek-Late
43588,1.01353568,43588,2024,9,08,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,9/8/2024,Late,Pick Creek,Pick Creek-Late
43590,0.802131493,43590,2024,9,08,Pick Creek,59.549728,-159.064847,NA,NA,NA,NA,NA,NA,9/8/2024,Late,Pick Creek,Pick Creek-Late
