ABLG,AlternateID(s),CollectionDate,Runtime,Sex,Lineage
8329,4033,2001,Late,Male,Odd
8303,4007,2001,Late,Male,Odd
8333,4037,2001,Late,Male,Odd
8337,5701,2002,Late,Male,Even
8334,4038,2001,Late,Male,Odd
8311,4015,2001,Late,Male,Odd
8335,4039,2001,Late,Male,Odd
8325,4029,2001,Late,Male,Odd
8310,4014,2001,Late,Male,Odd
8338,5702,2002,Late,Male,Even
8319,4023,2001,Late,Male,Odd
8306,4010,2001,Late,Male,Odd
8305,4009,2001,Late,Male,Odd
8327,4031,2001,Late,Male,Odd
8336,4040,2001,Late,Male,Odd
8301,4005,2001,Late,Male,Odd
8341,5705,2002,Late,Male,Even
8320,4024,2001,Late,Male,Odd
8326,4030,2001,Late,Male,Odd
8331,4035,2001,Late,Male,Odd
8340,5704,2002,Late,Male,Even
8308,4012,2001,Late,Male,Odd
8328,4032,2001,Late,Male,Odd
8313,4017,2001,Late,Male,Odd
8318,4022,2001,Late,Male,Odd
8314,4018,2001,Late,Male,Odd
8322,4026,2001,Late,Male,Odd
8330,4034,2001,Late,Male,Odd
8317,4021,2001,Late,Male,Odd
8342,5706,2002,Late,Male,Even
8312,4016,2001,Late,Male,Odd
8300,4004,2001,Late,Male,Odd
8339,5703,2002,Late,Male,Even
8332,4036,2001,Late,Male,Odd
8315,4019,2001,Late,Male,Odd
8302,4006,2001,Late,Male,Odd
8321,4025,2001,Late,Male,Odd
8359,5723,2002,Late,Male,Even
8352,5716,2002,Late,Male,Even
8371,5735,2002,Late,Male,Even
8349,5713,2002,Late,Male,Even
8360,5724,2002,Late,Male,Even
8350,5714,2002,Late,Male,Even
8374,5738,2002,Late,Male,Even
8363,5727,2002,Late,Male,Even
8351,5715,2002,Late,Male,Even
8362,5726,2002,Late,Male,Even
8367,5731,2002,Late,Male,Even
8348,5712,2002,Late,Male,Even
8368,5732,2002,Late,Male,Even
8355,5719,2002,Late,Male,Even
8366,5730,2002,Late,Male,Even
8344,5708,2002,Late,Male,Even
8345,5709,2002,Late,Male,Even
8356,5720,2002,Late,Male,Even
8372,5736,2002,Late,Male,Even
8361,5725,2002,Late,Male,Even
8346,5710,2002,Late,Male,Even
8347,5711,2002,Late,Male,Even
8365,5729,2002,Late,Male,Even
8377,5741,2002,Late,Male,Even
8370,5734,2002,Late,Male,Even
8357,5721,2002,Late,Male,Even
8364,5728,2002,Late,Male,Even
8353,5717,2002,Late,Male,Even
8379,5743,2002,Late,Male,Even
8343,5707,2002,Late,Male,Even
8376,5740,2002,Late,Male,Even
8378,5742,2002,Late,Male,Even
8354,5718,2002,Late,Male,Even
8373,5737,2002,Late,Male,Even
8375,5739,2002,Late,Male,Even
8369,5733,2002,Late,Male,Even
8469,5606,2005,Early,Female,Odd
8496,5633,2005,Early,Female,Odd
8501,5638,2005,Early,Female,Odd
8499,5636,2005,Early,Female,Odd
8479,5616,2005,Early,Female,Odd
8492,5629,2005,Early,Female,Odd
8471,5608,2005,Early,Female,Odd
8464,5601,2005,Early,Female,Odd
8465,5602,2005,Early,Female,Odd
8466,5603,2005,Early,Female,Odd
8467,5604,2005,Early,Female,Odd
8468,5605,2005,Early,Female,Odd
