chrName	start.pos	fin.pos	gene	geneName
NC_068428.1	23.08922	23.090524	LOC118387205	uncharacterized LOC118387205
NC_068428.1	23.115564	23.118586	tmem18	transmembrane protein 18
NC_068428.1	23.132049	23.133019	LOC127931371	uncharacterized LOC127931371
NC_068428.1	23.133488	23.139796	si:dkey-126g1.9	uncharacterized protein C1orf115 homolog
NC_068428.1	23.140246	23.14892	LOC118387038	cytochrome P450 2K6-like
NC_068428.1	23.148751	23.174128	si:dkey-119f1.1	Structural maintenance of chromosomes protein 6-like
NC_068428.1	23.174314	23.182203	LOC118387037	flap endonuclease GEN homolog 1
NC_068428.1	23.183025	23.184885	msgn1	mesogenin 1
NC_068428.1	23.189229	23.191501	si:ch211-51e12.7	uncharacterized protein LOC336335 homolog
NC_068428.1	23.198683	23.20356	mrps10	mitochondrial ribosomal protein S10
NC_068428.1	23.206582	23.261565	tulp4a	TUB like protein 4a
NC_068428.1	23.233074	23.234521	LOC127931372	uncharacterized LOC127931372
NC_068428.1	23.262008	23.270603	tmem181	transmembrane protein 181
NC_068428.1	23.270808	23.272422	dynlt1b	dynein light chain Tctex-type 1b
NC_068428.1	23.272635	23.27548	gtf2h5	general transcription factor IIH%2C polypeptide 5
NC_068428.1	23.27648	23.28578	serac1	serine active site containing 1
NC_068428.1	23.286763	23.289402	myct1a	myc target 1a
NC_068428.1	23.324411	23.525715	syne1a	spectrin repeat containing%2C nuclear envelope 1a
NC_068428.1	23.525841	23.552881	esr1	estrogen receptor 1
NC_068428.1	23.554027	23.562044	armt1	acidic residue methyltransferase 1
NC_068428.1	23.567603	23.568414	LOC118373784	uncharacterized LOC118373784
NC_068428.1	23.568502	23.57628	zbtb2b	zinc finger and BTB domain containing 2b
NC_068428.1	23.579047	23.643078	akap12b	A kinase (PRKA) anchor protein 12b
NC_068428.1	23.652316	23.744268	mthfd1l	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like
NC_068428.1	23.760652	23.777856	LOC118373786	syntaxin-11-like
NC_068428.1	23.779864	23.779946	trnal-uaa	transfer RNA leucine (anticodon UAA)
NC_068428.1	23.783049	23.934243	utrn	utrophin
NC_068428.1	23.969185	23.970498	LOC127931376	uncharacterized LOC127931376
NC_068428.1	23.996871	23.997823	LOC127931374	uncharacterized LOC127931374
