chr	chrName
1	NC_068421.1
2	NC_068422.1
3	NC_068423.1
4	NC_068424.1
5	NC_068425.1
6	NC_068426.1
7	NC_068427.1
8	NC_068428.1
9	NC_068429.1
10	NC_068430.1
11	NC_068431.1
12	NC_068432.1
13	NC_068433.1
14	NC_068434.1
15	NC_068435.1
16	NC_068436.1
17	NC_068437.1
18	NC_068438.1
19	NC_068439.1
20	NC_068440.1
21	NC_068441.1
22	NC_068442.1
23	NC_068443.1
24	NC_068444.1
25	NC_068445.1
26	NC_068446.1
27	NC_068447.1
28	NC_068448.1
29	NC_068449.1
30	NC_068450.1
31	NC_068451.1
32	NC_068452.1
33	NC_068453.1
34	NC_068454.1
35	NC_068455.1
36	NC_068456.1
37	NC_068457.1
