chrName	start.pos	fin.pos	gene	geneName
NC_068455.1	27.866724	27.880224	slc38a6	solute carrier family 38 member 6
NC_068455.1	27.88051	27.882965	trmt5	tRNA methyltransferase 5
NC_068455.1	27.883063	27.94037	mnat1	MNAT1 component of CDK activating kinase
NC_068455.1	27.940809	27.948399	six4a	SIX homeobox 4a
NC_068455.1	27.954019	27.956186	six1a	SIX homeobox 1a
NC_068455.1	27.987293	27.994277	six6a	SIX homeobox 6a
NC_068455.1	28.006847	28.007664	LOC127915931	uncharacterized LOC127915931
NC_068455.1	28.042783	28.070928	LOC118368238	protein phosphatase 1A-like
NC_068455.1	28.070768	28.078117	dhrs7	dehydrogenase/reductase (SDR family) member 7
NC_068455.1	28.078217	28.090285	pcnx4	pecanex 4
NC_068455.1	28.128954	28.16998	lrrc9	leucine rich repeat containing 9
NC_068455.1	28.160558	28.205932	rtn1a	reticulon 1a
NC_068455.1	28.171249	28.172877	LOC127915932	putative nuclease HARBI1
NC_068455.1	28.205647	28.234961	LOC118369080	ATP-dependent RNA helicase TDRD9-like
NC_068455.1	28.228799	28.233331	LOC118368243	protein RD3-like
