gene	beg.pos	end.pos	color	spp_gene	y.min	y.max
slc38a6	27.866724	27.880224	olivedrab2	chum	0.07	0.075
trmt5	27.880510	27.882965	mediumblue	chum	0.03	0.035
mnat1	27.883063	27.940370	firebrick2	chum	0.06	0.065
six4a	27.940809	27.948399	skyblue1	chum	0.03	0.035
six1a	27.954019	27.956186	paleturquoise3	chum	0.03	0.035
six6a	27.987293	27.994277	#666666	both	0.03	0.035
dhrs7	28.070768	28.078117	#E6AB02	both	0.03	0.035
pcnx4	28.078217	28.090285	coral4	chum	0.07	0.075
lrrc9	28.128954	28.16998	#E7298A	both	0.03	0.035
rtn1a	28.160558	28.205932	#7570B3	both	0.07	0.075
